run	training_set	combo_name	m	precision	recall	f1	max_recall
4	80	str-type	30	0.794	0.853	0.822	0.926
4	80	str-type-lcd	30	0.800	0.842	0.821	0.926
4	120	basic	30	0.796	0.779	0.787	0.926
4	120	basic-type	30	0.854	0.863	0.859	0.926
4	120	str-type	30	0.832	0.884	0.857	0.926
4	120	str-type-lcd	30	0.838	0.874	0.856	0.926
4	160	basic	30	0.804	0.821	0.813	0.926
4	160	basic-type	30	0.890	0.853	0.871	0.926
4	160	str-type	30	0.847	0.874	0.860	0.926
4	160	str-type-lcd	30	0.875	0.884	0.880	0.926
4	200	basic	30	0.817	0.800	0.809	0.926
4	200	basic-type	30	0.910	0.853	0.880	0.926
4	200	str-type	30	0.894	0.884	0.889	0.926
4	200	str-type-lcd	30	0.933	0.874	0.902	0.926
4	240	basic	30	0.796	0.821	0.808	0.926
4	240	basic-type	30	0.880	0.853	0.866	0.926
4	240	str-type	30	0.859	0.895	0.876	0.926
4	240	str-type-lcd	30	0.923	0.884	0.903	0.926
4	280	basic	30	0.780	0.821	0.800	0.926
4	280	basic-type	30	0.890	0.853	0.871	0.926
4	280	str-type	30	0.875	0.884	0.880	0.926
4	280	str-type-lcd	30	0.892	0.874	0.883	0.926
4	320	basic	30	0.778	0.811	0.794	0.926
4	320	basic-type	30	0.892	0.874	0.883	0.926
4	320	str-type	30	0.875	0.884	0.880	0.926
4	320	str-type-lcd	30	0.922	0.874	0.897	0.926
5	40	basic	30	0.740	0.811	0.774	0.926
5	40	basic-type	30	0.773	0.895	0.829	0.926
5	40	str-type	30	0.790	0.874	0.830	0.926
5	40	str-type-lcd	30	0.808	0.842	0.825	0.926
5	80	basic	30	0.804	0.821	0.813	0.926
5	80	basic-type	30	0.816	0.884	0.848	0.926
5	80	str-type	30	0.817	0.895	0.854	0.926
5	80	str-type-lcd	30	0.814	0.874	0.843	0.926
5	120	basic	30	0.781	0.863	0.820	0.926
5	120	basic-type	30	0.854	0.863	0.859	0.926
5	120	str-type	30	0.825	0.895	0.859	0.926
5	120	str-type-lcd	30	0.820	0.863	0.841	0.926
5	160	basic	30	0.786	0.811	0.798	0.926
5	160	basic-type	30	0.866	0.884	0.875	0.926
5	160	str-type	30	0.840	0.884	0.862	0.926
5	160	str-type-lcd	30	0.850	0.895	0.872	0.926
5	200	basic	30	0.786	0.811	0.798	0.926
5	200	basic-type	30	0.884	0.884	0.884	0.926
5	200	str-type	30	0.884	0.884	0.884	0.926
5	200	str-type-lcd	30	0.922	0.874	0.897	0.926
5	240	basic	30	0.776	0.800	0.788	0.926
5	240	basic-type	30	0.875	0.884	0.880	0.926
5	240	str-type	30	0.895	0.895	0.895	0.926
5	240	str-type-lcd	30	0.924	0.895	0.909	0.926
5	280	basic	30	0.776	0.800	0.788	0.926
5	280	basic-type	30	0.874	0.874	0.874	0.926
5	280	str-type	30	0.892	0.874	0.883	0.926
5	280	str-type-lcd	30	0.922	0.874	0.897	0.926
5	320	basic	30	0.762	0.811	0.786	0.926
5	320	basic-type	30	0.902	0.874	0.888	0.926
5	320	str-type	30	0.884	0.884	0.884	0.926
5	320	str-type-lcd	30	0.892	0.874	0.883	0.926
6	40	basic	30	0.787	0.779	0.783	0.926
6	40	basic-type	30	0.900	0.853	0.876	0.926
6	40	str-type	30	0.851	0.842	0.847	0.926
6	40	str-type-lcd	30	0.840	0.832	0.836	0.926
6	80	basic	30	0.830	0.821	0.825	0.926
6	80	basic-type	30	0.874	0.874	0.874	0.926
6	80	str-type	30	0.830	0.874	0.851	0.926
6	80	str-type-lcd	30	0.837	0.863	0.850	0.926
6	120	basic	30	0.810	0.853	0.831	0.926
6	120	basic-type	30	0.865	0.874	0.869	0.926
6	120	str-type	30	0.814	0.874	0.843	0.926
6	120	str-type-lcd	30	0.822	0.874	0.847	0.926
6	160	basic	30	0.785	0.884	0.832	0.926
