run	combo_name	k	precision	recall	f1	max_recall
15	str	30	0.846	0.759	0.8	0.871
15	basic-type	30	0.907	0.845	0.875	0.871
15	str-type	30	0.9	0.853	0.876	0.871
15	str-elev-lc	30	0.862	0.81	0.836	0.871
15	str-type-lcd	30	0.925	0.853	0.888	0.871
15	all-min	30	0.932	0.828	0.877	0.871
15	all	30	0.874	0.836	0.855	0.871
16	basic	30	0.748	0.786	0.767	0.923
16	str	30	0.813	0.778	0.795	0.923
16	basic-type	30	0.9	0.846	0.872	0.923
16	str-type	30	0.868	0.846	0.857	0.923
16	str-elev-lc	30	0.79	0.838	0.813	0.923
16	str-type-lcd	30	0.9	0.846	0.872	0.923
16	all-min	30	0.925	0.838	0.879	0.923
16	all	30	0.825	0.846	0.835	0.923
17	basic	30	0.815	0.746	0.779	0.907
17	str	30	0.875	0.712	0.785	0.907
17	basic-type	30	0.897	0.814	0.853	0.907
17	str-type	30	0.907	0.822	0.862	0.907
17	str-elev-lc	30	0.883	0.831	0.856	0.907
17	str-type-lcd	30	0.933	0.822	0.874	0.907
17	all-min	30	0.933	0.831	0.879	0.907
17	all	30	0.917	0.839	0.876	0.907
18	basic	30	0.869	0.769	0.816	0.909
18	str	30	0.922	0.785	0.848	0.909
18	basic-type	30	0.891	0.876	0.883	0.909
18	str-type	30	0.946	0.876	0.91	0.909
18	str-elev-lc	30	0.906	0.876	0.891	0.909
18	str-type-lcd	30	0.955	0.884	0.918	0.909
18	all-min	30	0.884	0.884	0.884	0.909
18	all	30	0.939	0.893	0.915	0.909
19	basic	30	0.8	0.821	0.81	0.897
19	str	30	0.814	0.821	0.817	0.897
19	basic-type	30	0.872	0.872	0.872	0.897
19	str-type	30	0.912	0.889	0.9	0.897
19	str-elev-lc	30	0.835	0.863	0.849	0.897
19	str-type-lcd	30	0.929	0.889	0.908	0.897
19	all-min	30	0.936	0.88	0.907	0.897
19	all	30	0.904	0.88	0.892	0.897
20	basic	30	0.769	0.818	0.793	0.936
20	str	30	0.861	0.845	0.853	0.936
20	basic-type	30	0.909	0.909	0.909	0.936
20	str-type	30	0.9	0.9	0.9	0.936
20	str-elev-lc	30	0.89	0.882	0.886	0.936
20	str-type-lcd	30	0.926	0.909	0.917	0.936
20	all-min	30	0.951	0.891	0.92	0.936
20	all	30	0.925	0.891	0.907	0.936
